Product Name,Image Link,VariantID,Size,Volume Unit,Expert Ratings,Stock,WS Retail Price,Winemaker Name,Vintage (Year),Country,Region,Wine Type,Wine Grapes,Level to Drink,Vinification Process,Season,Soil Type,Description,Occasion,Body,Acidity,Alcohol,Fruitiness,Minerality,Sweetness / Dry
Alain Chavy Puligny Montrachet 2020,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67385ad15b5b245d69a5132aAlain20Chavy20Puligny20Montrachet202020.png,354663,750ml,ml,(RP: 92; WS: 94),10,498,Alain Chavy,2020,France,Cote de Beaune,White,Chardonnay,/ Drink within 5-7 years.,/ Aged in French oak barrels for 12 months with regular lees stirring.,"spring, summer",Soil Type: Limestone,"A crisp and refreshing Chardonnay with a medium body, showcasing fresh fruit flavors, a hint of minerality, and a dry finish, all balanced by a lively acidity and a subtle hint of oak.",Occasion: Celebration,Medium,High,13.5,Fresh,Medium,Dry
"Aldeneyck Herenlaak Chardonnay Maaseik, Belgium 2020",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e7a2f2ae337490a3abAldeneyck2027Herenlaak2720Chardonnay20Maaseik2C20Belgium202020.png,354665,750ml,ml,(RP: 88; WS: 90),10,229,Aldeneyck,2020,Belgium,Maaseik,White,Chardonnay,/ Drink within 5 years.,/ Aged in French oak barrels for 12 months with regular lees stirring.,"spring, summer",Soil Type: Limestone,"A crisp and refreshing Chardonnay with a medium body, offering a perfect balance of fresh fruit flavors and subtle minerality, complemented by a hint of sweetness and a smooth, velvety finish.",Occasion: Celebration,Medium,Medium,13.2,Fresh,Medium,Off-dry
"Andre Beaufort a Polisy Brut Reserve, Champagne NV",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e7496e9f363c5bb903Andre20Beaufort20a20Polisy20Brut20Reserve2C20Champagne20NV.png,354667,750ml,ml,RP: 92; WS: 90,10,598,Andre Beaufort,NV,France,Champagne,Sparkling,Chardonnay,/ Drink within 5 years.,"/ Aged for a minimum of 3 years on the lees in underground cellars, with a slow and gentle remuage, followed by a degorgement and dosage.","spring, summer",Soil Type: Limestone,"A crisp and refreshing champagne with a medium body, high acidity, and a dry finish, showcasing fresh fruit flavors and a subtle mineral undertone.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
"Andre Beaufort Non Dose Potion x Tregalli, Champagne 2020",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e81e125c51d930ae52Andre20Beaufort20Non20Dose20Potion20x20Tregalli2C20Champagne202020.png,354669,750ml,ml,(RP: 92; WS: 94),10,598,Andre Beaufort,2020,France,Champagne,Sparkling,Pinot Noir,/ Drink within 5 years.,"/ Aged for 12 months in oak barrels, followed by 6 months of bottle aging.","spring, summer",Soil Type: Limestone,"This Pinot Noir-dominant Champagne is a masterclass in balance and finesse. Fresh fruit aromas and flavors of red apple and cherry are underscored by a subtle minerality, while a medium body and acidity provide a lively, energetic texture. The finish is dry and crisp, making this an excellent apéritif or pairing for delicate seafood dishes.",Occasion: Celebration,Medium,Medium,12.5,Fresh,Medium,Dry
Angelina Brut Reserve Sparkling Wine 2012,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e8380f36befdb4b87aAngelina20Brut20Reserve20Sparkling20Wine202012.png,354671,750ml,ml,(RP: 88; WS: 90),10,298,Angelina,2012,China,Ningxia,Sparkling,Masanne,/ Drink within 5 years.,"/ Aged for 36 months in French oak barrels, with 12 months of bottle aging prior to release.","spring, summer",Soil Type: Limestone,"A delicate and refined sparkling wine with a fresh fruitiness, medium acidity, and a subtle minerality, finishing off-dry with a medium body and 12.5 alcohol.",/ Occasion: Celebration,Medium,Medium,12.5,Fresh,Medium,Off-dry
Anne et Jean-Francois Ganevat Cotes du Jura La Barraque Savagnin 2020,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e8bdd26229c6f22a88Anne20et20Jean-Francois20Ganevat20Cotes20du20Jura2027La20Barraque2720Savagnin202020.png,354673,750ml,ml,(RP: 92; WS: 90),10,938,Anne et Jean-Francois Ganevat,2020,France,Jura,White,Savagnin,/ Drink within 5-7 years.,"/ Aged in oak barrels for 24 months, with a mix of new and old barrels, followed by a minimum of 6 months of bottle aging.","spring, summer",Soil Type: Marl,"A crisp and refreshing Savagnin from Jura, offering a medium-bodied palate with high acidity, fresh fruit flavors, and a hint of minerality, finishing dry and clean.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
Armand Heitz Saint Aubin 1er cru murgers dents de chien 2019,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e7c19f9467dc9c23d0Armand20Heitz20Saint20Aubin201er20cru20murgers20dents20de20chien202019.png,354675,750ml,ml,(RP: 92; WS: 90),10,698,Armand Heitz,2019,France,Cote de Beaune,White,Chardonnay,/ Drink within 5-7 years.,/ Aged in French oak barrels for 12 months with regular lees stirring.,"spring, summer",Soil Type: Limestone,"This Chardonnay from Cote de Beaune is a vibrant and refreshing wine, boasting a medium body and high acidity. Fresh fruit flavors dominate the palate, balanced by a subtle minerality and a dry finish, making it an excellent pairing for seafood or creamy sauces.",Occasion: Celebration,Medium,High,13.2,Fresh,Medium,Dry
Avignonesi Grandi Annate Sangiovese 2016,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/673208375387060c754b74f5Avignonesi20Grandi20Annate20Sangiovese202016.png,354677,750ml,ml,(RP: 92; WS: 90),10,888,Avignonesi,2016,Italy,Tuscany,Red,Sangiovese,/ Drink within 5-7 years.,"/ Aged in French oak barrels for 24 months, followed by 12 months of bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A classic Tuscan Sangiovese, this wine boasts rich fruit flavors of cherry and plum, balanced by medium acidity and a medium body. The finish is dry and satisfying, with subtle hints of minerality.",/ Occasion: Celebration,Medium,Medium,13.5,Rich,Medium,Dry
Badia a Coltibuono Chianti Classico Riserva 1968,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1f35f170ad56939d8b6Badia20a20Coltibuono20Chianti20Classico20Riserva201968.png,354679,750ml,ml,RP: 92; WS: 90,10,399,Badia a Coltibuono,1968,Italy,Tuscany,Red,Sangiovese,/ Drink now.,"/ Aged in large oak casks for 3-4 years, followed by extended bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A classic, full-bodied Chianti with rich fruit flavors, medium acidity, and a dry finish, showcasing the best of Tuscanys Sangiovese grape.",/ Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Badia a Coltibuono Chianti Classico Riserva 2019,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e8e9f60b9673bdb82dBadia20a20Coltibuono20Chianti20Classico20Riserva202019.png,354681,750ml,ml,(RP: 92; WS: 90),10,298,Badia a Coltibuono,2019,Italy,Tuscany,Red,Sangiovese,/ Drink within 5-7 years.,/ Aged in French oak barrels for 24 months.,"Autumn, Winter",Soil Type: Clay-Limestone,"A classic Tuscan Chianti, this wine boasts rich fruit flavors of cherry and plum, balanced by medium acidity and a medium body. The finish is dry and satisfying, with subtle hints of minerality.",Occasion: Celebration,Medium,Medium,13.5,Rich,Medium,Dry
